time,queue
2394,41
2396,0
2397,25
2399,0
2400,30
2402,0
2403,37
2405,0
2406,40
2408,0
2409,27
2411,0
2412,39
2414,0
2415,35
2417,0
2418,39
2420,0
2421,27
2423,0
2424,28
2426,0
2427,27
2429,0
2430,38
2432,0
2433,32
2435,0
2436,43
2438,0
2439,43
2441,0
2442,43
2444,0
2445,39
2447,0
2448,31
2450,0
2451,26
2453,0
2454,40
2456,0
2457,32
2459,0
2460,34
2462,0
2463,38
2465,0
2466,37
2468,0
2469,22
2471,0
2472,36
2474,0
2475,41
2477,0
2478,26
2480,0
2481,30
2483,0
2484,40
2486,0
2487,34
2489,0
2490,40
2492,0
2493,42
2495,0
2496,42
2498,0
2499,34
2501,0
2502,25
2504,0
2505,34
2507,0
2508,23
2510,0
2511,33
2513,0
2514,38
2516,0
2517,38
2519,0
2520,28
2522,0
2523,31
2525,0
2526,27
2528,0
2529,21
2531,0
2532,42
2534,0
2535,39
2537,0
2538,38
2540,0
2541,29
2543,0
2544,38
2546,0
2547,31
2549,0
2550,30
2552,0
2553,31
2555,0
2556,34
2558,0
2559,31
2561,0
2562,30
2564,0
2565,28
2567,0
2568,32
2570,0
2571,33
2573,0
2574,21
2576,0
2577,41
2579,0
2580,37
2582,0
2583,32
2585,0
2586,33
2588,0
2589,26
2591,0
2592,41
2594,0
2595,34
2597,0
2598,29
2600,0
2601,37
2603,0
2604,33
2606,0
2607,31
2609,0
2610,44
2612,0
2613,34
2615,0
2616,34
2618,0
2619,36
2621,0
2622,37
2624,0
2625,40
2627,0
2628,36
2630,0
2631,40
2633,0
2634,35
2636,0
2637,37
2639,0
2640,29
2642,0
2643,26
2645,0
2646,34
2648,0
2649,37
2651,0
2652,32
2654,0
2655,36
2657,0
2658,30
2660,0
2661,35
2663,0
2664,32
2666,0
2667,31
2669,0
2670,46
2672,0
2673,32
2675,0
2676,34
2678,0
2679,37
2681,0
2682,40
2684,0
2685,33
2687,0
2688,36
2690,0
2691,23
2693,0
2694,40
2696,0
2697,30
2699,0
2700,41
2702,0
2703,31
2705,0
2706,37
2708,0
2709,38
2711,0
2712,29
2714,0
2715,32
2717,0
2718,27
2720,0
2721,24
2723,0
2724,48
2726,0
2727,35
2729,0
2730,30
2732,0
2733,41
2735,0
2736,37
2738,0
2739,37
2741,0
2742,32
2744,0
2745,31
2747,0
2748,33
2750,0
2751,41
2753,0
2754,28
2756,0
2757,35
2759,0
2760,34
2762,0
2763,29
2765,0
2766,38
2768,0
2769,29
2771,0
2772,33
2774,0
2775,39
2777,0
2778,30
2780,0
2781,37
2783,0
2784,31
2786,0
2787,31
2789,0
2790,34
2792,0
2793,35
2795,0
2796,32
2798,0
2799,32
2801,0
2802,35
2804,0
2805,32
2807,0
2808,38
2810,0
2811,42
2813,0
2814,38
2816,0
2817,38
2819,0
2820,48
2822,0
2823,26
2825,0
2826,40
2828,0
2829,38
2831,0
2832,46
2834,0
2835,36
2837,0
2838,46
2840,0
2841,29
2843,0
2844,31
2846,0
2847,40
2849,0
2850,31
2852,0
2853,36
2855,0
2856,32
2858,0
2859,26
2861,0
2862,35
2864,0
2865,42
2867,0
2868,31
2870,0
2871,37
2873,0
2874,36
2876,0
2877,34
2879,0
2880,37
2882,0
2883,35
2885,0
2886,41
2888,0
2889,33
2891,0
2892,31
2894,0
2895,40
2897,0
2898,23
2900,0
2901,34
2903,0
2904,30
2906,0
2907,40
2909,0
2910,29
2912,0
2913,35
2915,0
2916,35
2918,0
2919,35
2921,0
2922,31
2924,0
2925,37
2927,0
2928,32
2930,0
2931,40
2933,0
2934,33
2936,0
2937,34
2939,0
2940,37
2942,0
2943,29
2945,0
2946,36
2948,0
2949,32
2951,0
2952,36
2954,0
2955,32
2957,0
2958,40
2960,0
2961,22
2963,0
2964,34
2966,0
2967,29
2969,0
2970,36
2972,0
2973,31
2975,0
2976,31
2978,0
2979,46
2981,0
2982,28
2984,0
2985,25
2987,0
2988,33
2990,0
2991,37
2993,0
2994,33
2996,0
2997,40
2999,0
3000,40
3002,0
3003,21
3005,0
3006,36
3008,0
3009,28
3011,0
3012,31
3014,0
3015,36
3017,0
3018,30
3020,0
3021,30
3023,0
3024,32
3026,0
3027,36
3029,0
3030,44
3032,0
3033,41
3035,0
3036,38
3038,0
3039,40
3041,0
3042,37
3044,0
3045,25
3047,0
3048,24
3050,0
3051,34
3053,0
3054,32
3056,0
3057,37
3059,0
3060,32
3062,0
3063,32
3065,0
3066,40
3068,0
3069,37
3071,0
3072,32
3074,0
3075,34
3077,0
3078,36
3080,0
3081,31
