time,queue
1652.86,560
1653.85,0
1654.56,304
1655.73,14
1656.22,111
1657.31,0
1658.25,91
1659.42,0
1660.18,133
1661.01,0
1664.42,132
1665.36,0
1666.21,507
1667.17,0
1670.87,135
1671.72,5
1672.1,539
1673.21,0
1675.5,66
1676.5,0
1678.4,354
1679.49,462
1682.67,309
1683.5,469
1684.3,947
1685.16,325
1690.25,583
1691.08,618
1691.29,1089
1692.42,502
1694.82,659
1695.99,342
1697.48,866
1698.37,409
1699,571
1699.85,90
1700.69,497
1701.61,0
1707.12,208
1707.95,116
1712.58,852
1713.59,126
1718.32,797
1719.22,266
1720.96,808
1722.13,56
1727.88,537
1728.89,0
1734.69,892
1735.7,135
1737.61,856
1738.42,0
1741.12,397
1742.24,13
1743.49,406
1744.56,0
1745.25,204
1746.14,0
1747.3,99
1748.4,0
1750.84,154
1751.96,402
1752.8,384
1753.68,141
1755.19,523
1756.21,0
1760.1,377
1761.09,0
1763.89,595
1764.99,385
1767.39,459
1768.34,307
1770.93,730
1771.94,380
1774.01,699
1775.08,204
1779.17,652
1780.02,197
1782.56,822
1783.67,175
1786.31,577
1787.24,351
1790.63,569
1791.57,403
1793.67,837
1794.72,300
1795.21,701
1796.19,126
1797.63,372
1798.62,0
1800.72,340
1801.53,0
1802.86,300
1803.79,0
1804.18,214
1805.35,0
1806.26,64
1807.35,0
1808.78,133
1809.7,115
1810.38,219
1811.19,0
1813.98,203
1814.89,49
1815.45,439
1816.49,0
1817.59,128
1818.5,0
1819.55,160
1820.42,0
1823.1,133
1823.99,0
1825.91,405
1826.82,0
1829.77,285
1830.93,0
1831.6,456
1832.61,0
1833.4,104
1834.31,0
1835.33,113
1836.16,84
1838.98,160
1840.16,141
1843.77,488
1844.76,380
1850.28,682
1851.13,390
1852.47,1189
1853.48,589
1854.11,621
1855.18,335
1856.7,683
1857.76,324
1866.5,554
1867.5,250
1867.58,1661
1868.6,191
1868.77,266
1869.91,0
1872.97,208
1874.04,0
1875.2,429
1876.36,68
1879.43,177
1880.61,72
1884.23,510
1885.1,58
1885.4,621
1886.55,0
1886.7,98
1887.67,0
1889.01,35
1889.98,0
1893.46,214
1894.6,20
1894.74,522
1895.79,0
1896.46,39
1897.32,0
1901.48,94
1902.34,0
1903.75,568
1904.58,0
1907.77,230
1908.9,0
1909.68,487
1910.51,127
1911.57,118
1912.75,165
1914.66,292
1915.81,170
1916.68,442
1917.71,0
1918.26,324
1919.32,0
1920.05,94
1921.03,0
1923.2,107
1924.17,0
1926.31,311
1927.21,0
1928.98,323
1929.94,0
1930.26,258
1931.24,0
1933.24,39
1934.09,63
1935.93,299
1937.06,56
1937.64,353
1938.67,16
1941.38,142
1942.54,0
1947.74,432
1948.57,16
1949.62,750
1950.79,0
1954.79,173
1955.8,447
1958.02,607
1959.18,322
1960.63,812
1961.72,72
1964.93,528
1965.92,160
1967.37,561
1968.32,31
1969.27,387
1970.41,0
1971.64,179
1972.55,0
1973.18,181
1974.16,0
1975.76,83
1976.94,8
1978.1,200
1978.98,0
1978.99,187
1980.18,0
1984.35,3
1985.45,0
1986.53,646
1987.4,0
1990.17,158
1991.02,64
1992.67,422
1993.75,0
1996.75,319
1997.63,256
1999.83,451
2000.7,347
2003.85,609
2004.89,286
2013.21,849
2014.03,527
2015.91,1519
2016.8,451
2017.33,825
2018.48,57
2020.94,532
2021.78,105
2025.02,397
2026.04,25
2027.04,572
2027.97,0
2029.1,178
2029.92,0
2031.28,178
2032.37,0
2034.64,218
2035.77,0
2037.59,328
2038.59,0
2039.69,248
2040.59,0
2043.14,189
2044.31,0
2045.02,363
2046.03,0
2048.29,109
2049.35,323
2051.02,342
2051.84,249
2051.84,587
2052.66,0
2054.8,249
2056,0
2056.18,302
2057.13,0
2057.29,29
2058.26,0
2060.45,22
2061.61,51
2065.57,328
2066.47,37
2066.95,658
2068.04,0
2068.62,110
2069.8,0
2072.32,76
2073.42,0
2075.89,403
2077.05,67
2078.33,349
2079.45,0
2080.56,248
2081.6,0
2082.19,176
2083.08,0
2083.52,98
2084.5,0
2085.8,64
2086.79,71
2091.41,196
2092.4,137
2096.31,793
2097.3,63
2100.72,726
2101.65,208
2103.78,589
2104.91,265
